regime,cc_gain,cc_mode,limb_condition,mean,std,n
capacity,0.05,always,L4 slip,0.9048543873701163,0.3585747583661315,30
capacity,0.05,always,intact,0.5958988187997967,0.18863288926653238,30
capacity,0.05,delayed,L4 failure,1.9786727793743482,0.9526008194985774,30
capacity,0.05,delayed,L4 slip,0.9207782518138748,0.3649660063787086,30
capacity,0.05,delayed,intact,0.6081960924016704,0.1927073301240033,30
capacity,0.05,dropout,L4 failure,2.0757664352107517,0.9911330603531258,30
capacity,0.05,dropout,L4 slip,0.987724604073673,0.39942190671196653,30
capacity,0.05,dropout,intact,0.6580590942853388,0.21617167527078443,30
capacity,0.05,intermittent,L4 failure,2.1224864866632456,0.9734058331146789,30
capacity,0.05,intermittent,L4 slip,1.049579514597599,0.41171512836432245,30
capacity,0.05,intermittent,intact,0.7197965510104937,0.2327510098534858,30
capacity,0.05,noisy,L4 failure,1.94931699300606,0.947711587521914,30
capacity,0.05,noisy,L4 slip,0.899518585604393,0.35672454355886263,30
capacity,0.05,noisy,intact,0.5905554032178287,0.18924029782707177,30
capacity,0.05,stuck,L4 failure,1.9984230086849377,0.9643959544619192,30
capacity,0.05,stuck,L4 slip,0.9218998583012682,0.36975334891966655,30
capacity,0.05,stuck,intact,0.6023881169203463,0.19082178177229278,30
capacity,0.1,always,L4 failure,1.7580104691225755,0.9067231372392649,30
capacity,0.1,always,L4 slip,0.7540751106185349,0.32409850069009666,30
capacity,0.1,always,intact,0.4820777540191777,0.17269431880215844,30
capacity,0.1,delayed,L4 failure,1.7904166410182152,0.9186449328087677,30
capacity,0.1,delayed,L4 slip,0.7724938024932668,0.32924312144189133,30
capacity,0.1,delayed,intact,0.4945881979393181,0.1739419150905749,30
capacity,0.1,dropout,L4 failure,1.961297125636718,0.9964323263114018,30
capacity,0.1,dropout,L4 slip,0.869069186653463,0.3752432657837912,30
capacity,0.1,dropout,intact,0.5532604978690169,0.19984134333346448,30
capacity,0.1,intermittent,L4 failure,2.038253264332151,0.9571627246653104,30
capacity,0.1,intermittent,L4 slip,0.9748578564703219,0.3809664483639286,30
capacity,0.1,intermittent,intact,0.6532486749664224,0.20585801726057504,30
capacity,0.1,noisy,L4 failure,1.7465650154942658,0.9095666828472377,30
capacity,0.1,noisy,L4 slip,0.748403957476413,0.3231182926076352,30
capacity,0.1,noisy,intact,0.47666685437082335,0.17551435746532398,30
capacity,0.1,stuck,L4 failure,1.828571538768474,0.9458241982620076,30
capacity,0.1,stuck,L4 slip,0.771486871708943,0.337070898997551,30
capacity,0.1,stuck,intact,0.4897923308592522,0.17191569096460713,30
capacity,0.2,always,L4 failure,1.514163824302231,0.8331304631011115,30
capacity,0.2,always,L4 slip,0.6334138682997575,0.3049614809865585,30
capacity,0.2,always,intact,0.43942532670178563,0.17760579641561525,30
capacity,0.2,delayed,L4 failure,1.5458226344970802,0.8511037006059629,30
capacity,0.2,delayed,L4 slip,0.6449043521945884,0.3072671378982981,30
capacity,0.2,delayed,intact,0.45004133817814795,0.17605593935513364,30
capacity,0.2,dropout,L4 failure,1.7909684704637243,1.0042698240856773,30
capacity,0.2,dropout,L4 slip,0.713222847137046,0.3580614553375824,30
capacity,0.2,dropout,intact,0.45784346889861005,0.18772115012118423,30
capacity,0.2,intermittent,L4 failure,1.8881498018653529,0.9255172656658543,30
capacity,0.2,intermittent,L4 slip,0.8516232153281099,0.34080183454276897,30
capacity,0.2,intermittent,intact,0.5486895895905703,0.17728053937257177,30
capacity,0.2,noisy,L4 failure,1.5045377926009913,0.8369447769286612,30
capacity,0.2,noisy,L4 slip,0.6353486031084165,0.3071996039282991,30
capacity,0.2,noisy,intact,0.4406679169095543,0.17930314229788888,30
capacity,0.2,stuck,L4 failure,1.6090430990762121,0.9016873350932331,30
capacity,0.2,stuck,L4 slip,0.6592604804957216,0.31113798288941974,30
capacity,0.2,stuck,intact,0.4853295086463243,0.1728114311791665,30
capacity,0.4,always,L4 failure,1.3590785548611264,0.7694609528651164,30
capacity,0.4,always,L4 slip,0.6237917022214661,0.2901699592021556,30
capacity,0.4,always,intact,0.4758775011179694,0.19139894110679104,30
capacity,0.4,delayed,L4 failure,1.3745495139910475,0.7771830993731854,30
capacity,0.4,delayed,L4 slip,0.6405574487408205,0.28864151581032876,30
capacity,0.4,delayed,intact,0.5023748794021583,0.18873678444621664,30
capacity,0.4,dropout,L4 failure,1.6203563611414504,0.9801585276769578,30
capacity,0.4,dropout,L4 slip,0.6421853250297271,0.3145980474539472,30
capacity,0.4,dropout,intact,0.5046988493243179,0.1659575196820654,30
capacity,0.4,intermittent,L4 failure,1.6655508733315687,0.8664510051596584,30
capacity,0.4,intermittent,L4 slip,0.7026082567337353,0.31048689075512914,30
capacity,0.4,intermittent,intact,0.4513376704809632,0.17270323804221027,30
capacity,0.4,noisy,L4 failure,1.3648319660414148,0.7704641127992916,30
capacity,0.4,noisy,L4 slip,0.6422398330763979,0.29732424723839856,30
capacity,0.4,noisy,intact,0.4813701818565624,0.19575509898993454,30
capacity,0.4,stuck,L4 failure,1.458559607342516,0.8133543373953828,30
capacity,0.4,stuck,L4 slip,0.7257813086952036,0.30017491221713916,30
capacity,0.4,stuck,intact,0.6184415800388596,0.22843316592547985,30
capacity,1.0,always,L4 failure,1.3121066952413094,0.7284681990994836,30
capacity,1.0,always,L4 slip,0.623483612638049,0.300355057565148,30
capacity,1.0,always,intact,0.46088615083133055,0.22898766867221826,30
capacity,1.0,delayed,L4 failure,1.327392390055372,0.7312053401367858,30
capacity,1.0,delayed,L4 slip,0.6479891124263791,0.30303372293334535,30
capacity,1.0,delayed,intact,0.49404860453238386,0.23288317084707968,30
capacity,1.0,dropout,L4 failure,1.5186114448445727,0.8950657253083353,30
capacity,1.0,dropout,L4 slip,0.6910561929447646,0.28913655701627017,30
capacity,1.0,dropout,intact,0.5884477744965899,0.21152523456497835,30
capacity,1.0,intermittent,L4 failure,1.434403020714499,0.7951660600319032,30
capacity,1.0,intermittent,L4 slip,0.6521380033571842,0.2907333191578559,30
capacity,1.0,intermittent,intact,0.48430503745407194,0.190888055611625,30
capacity,1.0,noisy,L4 failure,1.4024033756224634,0.7288058157976289,30
capacity,1.0,noisy,L4 slip,0.7362686284895172,0.301826209046961,30
capacity,1.0,noisy,intact,0.5224826020042832,0.22720829508266163,30
