regime,split,retained_strength,mean,std
capacity,ID,0.0,0.12697990728917802,0.1506546857162817
capacity,ID,0.5,0.013448181174743595,0.021968209171172877
capacity,OOS,0.0,0.13262761219408187,0.1619998278812867
capacity,OOS,0.5,0.014853928385191839,0.024035240762735385
sensor_comm,ID,0.0,0.09191285983245388,0.09902319615070782
sensor_comm,ID,0.5,0.011360938639025651,0.016420986778737597
sensor_comm,OOS,0.0,0.09613550965948364,0.10400997647357668
sensor_comm,OOS,0.5,0.012025556585933652,0.02067239976398942
