condition,n_levels,rate_bits_per_step,late_tracking_mse,late_log_error_slope,full_precision_late_tracking_mse,full_precision_late_log_error_slope,rcrit_median,rcrit_q10,rcrit_q90,quantizer_clip_fraction,late_start,horizon,policy_seed
intact,1,0.0,98.68342300863296,0.007792670691351358,89.22342442039513,0.00834750442539639,0.02207229979163046,0.022072299781210784,0.02207233760336959,0.0,250,50,9101
intact,3,6.339850002884624,98.68342300863296,0.007792670691351358,89.22342442039513,0.00834750442539639,0.02207229979163046,0.022072299781210784,0.02207233760336959,0.0,250,50,9101
intact,5,9.287712379549449,54.13892474681987,0.009445279286434266,89.22342442039513,0.00834750442539639,0.02207229979163046,0.022072299781210784,0.02207233760336959,0.0,250,50,9101
intact,9,12.679700005769249,319.84422926939345,0.007832983154779313,89.22342442039513,0.00834750442539639,0.02207229979163046,0.022072299781210784,0.02207233760336959,0.0,250,50,9101
intact,17,16.349851365001356,115.33966991730594,0.00830665042432079,89.22342442039513,0.00834750442539639,0.02207229979163046,0.022072299781210784,0.02207233760336959,0.0,250,50,9101
intact,33,20.177576477433814,117.00531746430677,0.008421779467115342,89.22342442039513,0.00834750442539639,0.02207229979163046,0.022072299781210784,0.02207233760336959,0.0,250,50,9101
intact,65,24.089471252113817,98.90976383536278,0.008345833636815568,89.22342442039513,0.00834750442539639,0.02207229979163046,0.022072299781210784,0.02207233760336959,0.0,250,50,9101
intact,full_precision,,89.22342442039513,0.00834750442539639,89.22342442039513,0.00834750442539639,0.02207229979163046,0.022072299781210784,0.02207233760336959,0.0,250,50,9101
L4_loss,1,0.0,215.88446097426922,0.010361737674023173,175.0303388930999,0.011913636880856553,0.023957369172867785,0.023955228394894532,0.023957550322619516,0.0,250,50,9101
L4_loss,3,6.339850002884624,215.88446097426922,0.010361737674023173,175.0303388930999,0.011913636880856553,0.023957369172867785,0.023955228394894532,0.023957550322619516,0.0,250,50,9101
L4_loss,5,9.287712379549449,182.70089952612128,0.013534405419638424,175.0303388930999,0.011913636880856553,0.023957369172867785,0.023955228394894532,0.023957550322619516,0.0,250,50,9101
L4_loss,9,12.679700005769249,152.06448938897506,0.010543628286005356,175.0303388930999,0.011913636880856553,0.023957369172867785,0.023955228394894532,0.023957550322619516,0.0,250,50,9101
L4_loss,17,16.349851365001356,137.8092663555275,0.010352424779145417,175.0303388930999,0.011913636880856553,0.023957369172867785,0.023955228394894532,0.023957550322619516,0.0,250,50,9101
L4_loss,33,20.177576477433814,179.19889858086822,0.012097255851620374,175.0303388930999,0.011913636880856553,0.023957369172867785,0.023955228394894532,0.023957550322619516,0.0,250,50,9101
L4_loss,65,24.089471252113817,172.51586771329852,0.011876855727150274,175.0303388930999,0.011913636880856553,0.023957369172867785,0.023955228394894532,0.023957550322619516,0.0,250,50,9101
L4_loss,full_precision,,175.0303388930999,0.011913636880856553,175.0303388930999,0.011913636880856553,0.023957369172867785,0.023955228394894532,0.023957550322619516,0.0,250,50,9101
