history,regime,condition,model_seed,model,context_hidden,message_hidden,context_parameters,message_parameters,best_epoch,train_nll_nats,validation_nll_nats,test_nll_nats,calibration_variance,test_rmse_standardized,test_coverage_50,test_coverage_80,test_coverage_95,gain_bits_per_action
0,own_sensor,intact,41,context_only,64,64,5057,5121,50,-0.8179694938250853,-0.9194923847941312,-0.7474691618094156,0.058485012501478195,0.2803686559200287,0.7200303819444445,0.8970920138888889,0.9528862847222223,
0,own_sensor,intact,41,with_message,64,64,5057,5121,47,-0.8477210949046629,-0.9007369329326216,-0.784913247858151,0.06072050333023071,0.27347075939178467,0.7128689236111111,0.8930555555555556,0.9520833333333333,0.054020397253130174
0,own_sensor,intact,41,with_message_shuffled,64,64,5057,5121,47,-0.8477210949046629,-0.9007369329326216,-0.7098160063897835,0.06072050333023071,0.289665549993515,0.6963758680555555,0.8828125,0.9439453125,
0,own_sensor,intact,42,context_only,64,64,5057,5121,80,-0.9547457590315415,-0.9194286410491754,-0.8112411857005033,0.05849246680736542,0.2667372524738312,0.7199001736111111,0.8969618055555556,0.9560980902777778,
0,own_sensor,intact,42,with_message,64,64,5057,5121,34,-0.6759831612234021,-0.7848456368847172,-0.6418628245912744,0.07655917853116989,0.3137713670730591,0.6856336805555555,0.8814019097222222,0.956640625,-0.24436132160618457
0,own_sensor,intact,42,with_message_shuffled,64,64,5057,5121,34,-0.6759831612234021,-0.7848456368847172,-0.565420611478532,0.07655917853116989,0.33189934492111206,0.6566840277777778,0.8654730902777777,0.9442274305555556,
0,own_sensor,intact,43,context_only,64,64,5057,5121,38,-0.7371691731125783,-0.9220774215455655,-0.727780306411674,0.058183424174785614,0.28424137830734253,0.7191840277777778,0.9001736111111112,0.9578993055555556,
0,own_sensor,intact,43,with_message,64,64,5057,5121,80,-0.9084020999295441,-0.9065568314529057,-0.8598294696276033,0.06001783162355423,0.25617724657058716,0.7566840277777778,0.9131727430555555,0.9620659722222222,0.19050667292515852
0,own_sensor,intact,43,with_message_shuffled,64,64,5057,5121,80,-0.9084020999295441,-0.9065568314529057,-0.7896802998378967,0.06001783162355423,0.27211612462997437,0.7350260416666666,0.9023654513888889,0.9560546875,
0,own_sensor,limb_slip_sensor_retained,41,context_only,64,64,5057,5121,50,-0.8179694938250853,-0.9194923847941312,-0.9034767121876123,0.058485012501478195,0.24567939341068268,0.6400297619047619,0.8638690476190476,0.9354464285714286,
0,own_sensor,limb_slip_sensor_retained,41,with_message,64,64,5057,5121,47,-0.8477210949046629,-0.9007369329326216,-0.9358931342601887,0.06072050333023071,0.2375943958759308,0.6316666666666667,0.8624107142857143,0.9444345238095239,0.04676701136746957
0,own_sensor,limb_slip_sensor_retained,41,with_message_shuffled,64,64,5057,5121,47,-0.8477210949046629,-0.9007369329326216,-0.8739769237784972,0.06072050333023071,0.2529234290122986,0.6201785714285715,0.8611011904761905,0.9341071428571428,
0,own_sensor,limb_slip_sensor_retained,42,context_only,64,64,5057,5121,80,-0.9547457590315415,-0.9194286410491754,-0.9509405470984982,0.05849246680736542,0.23410694301128387,0.6825892857142857,0.878125,0.9405059523809524,
0,own_sensor,limb_slip_sensor_retained,42,with_message,64,64,5057,5121,34,-0.6759831612234021,-0.7848456368847172,-0.8502940977443565,0.07655917853116989,0.25794923305511475,0.6287797619047619,0.8589583333333334,0.9488690476190477,-0.14520213336630244
0,own_sensor,limb_slip_sensor_retained,42,with_message_shuffled,64,64,5057,5121,34,-0.6759831612234021,-0.7848456368847172,-0.7865070365661784,0.07655917853116989,0.2762331962585449,0.6290476190476191,0.8584226190476191,0.9373214285714285,
0,own_sensor,limb_slip_sensor_retained,43,context_only,64,64,5057,5121,38,-0.7371691731125783,-0.9220774215455655,-1.0023483149194086,0.058183424174785614,0.22100350260734558,0.6492559523809524,0.8727678571428571,0.9494940476190477,
0,own_sensor,limb_slip_sensor_retained,43,with_message,64,64,5057,5121,80,-0.9084020999295441,-0.9065568314529057,-1.044292578232338,0.06001783162355423,0.20852966606616974,0.6852976190476191,0.8871428571428571,0.9614583333333333,0.06051278067530419
0,own_sensor,limb_slip_sensor_retained,43,with_message_shuffled,64,64,5057,5121,80,-0.9084020999295441,-0.9065568314529057,-0.9951767619774843,0.06001783162355423,0.22221674025058746,0.6486607142857143,0.875625,0.9549404761904762,
0,own_sensor,limb_loss_sensor_retained,41,context_only,64,64,5057,5121,50,-0.8179694938250853,-0.9194923847941312,-0.9403960107155643,0.058485012501478195,0.2367275059223175,0.7219075520833333,0.8870442708333334,0.94619140625,
0,own_sensor,limb_loss_sensor_retained,41,with_message,64,64,5057,5121,47,-0.8477210949046629,-0.9007369329326216,-0.8842114984378848,0.06072050333023071,0.2504543364048004,0.633984375,0.8620768229166667,0.94248046875,-0.08105711723777331
0,own_sensor,limb_loss_sensor_retained,41,with_message_shuffled,64,64,5057,5121,47,-0.8477210949046629,-0.9007369329326216,-0.7627871464664454,0.06072050333023071,0.2783401906490326,0.6053059895833334,0.8318033854166667,0.9235677083333333,
0,own_sensor,limb_loss_sensor_retained,42,context_only,64,64,5057,5121,80,-0.9547457590315415,-0.9194286410491754,-0.8164278229616408,0.05849246680736542,0.26559746265411377,0.7292317708333333,0.8570638020833333,0.9221354166666667,
0,own_sensor,limb_loss_sensor_retained,42,with_message,64,64,5057,5121,34,-0.6759831612234021,-0.7848456368847172,-0.8973284309982572,0.07655917853116989,0.24358981847763062,0.6744140625,0.8809895833333333,0.9629557291666667,0.11671490601932824
0,own_sensor,limb_loss_sensor_retained,42,with_message_shuffled,64,64,5057,5121,34,-0.6759831612234021,-0.7848456368847172,-0.7468465729052478,0.07655917853116989,0.2870148718357086,0.63115234375,0.8526041666666667,0.9374348958333333,
0,own_sensor,limb_loss_sensor_retained,43,context_only,64,64,5057,5121,38,-0.7371691731125783,-0.9220774215455655,-1.119974666271547,0.058183424174785614,0.18749599158763885,0.7436848958333333,0.9127604166666666,0.9736979166666667,
0,own_sensor,limb_loss_sensor_retained,43,with_message,64,64,5057,5121,80,-0.9084020999295441,-0.9065568314529057,-1.0149196704326269,0.06001783162355423,0.21681885421276093,0.61533203125,0.87431640625,0.9646484375,-0.15156232151742086
0,own_sensor,limb_loss_sensor_retained,43,with_message_shuffled,64,64,5057,5121,80,-0.9084020999295441,-0.9065568314529057,-0.958221576675685,0.06001783162355423,0.2319832295179367,0.5892578125,0.8478515625,0.9572916666666667,
0,own_sensor,sensor_failure_only,41,context_only,64,64,5057,5121,50,-0.8179694938250853,-0.9194923847941312,-1.0948861766567985,0.058485012501478195,0.19485685229301453,0.7453125,0.9257486979166667,0.9740885416666667,
0,own_sensor,sensor_failure_only,41,with_message,64,64,5057,5121,47,-0.8477210949046629,-0.9007369329326216,-1.0912673197394092,0.06072050333023071,0.19386154413223267,0.7326171875,0.91982421875,0.97255859375,-0.005220906928404395
0,own_sensor,sensor_failure_only,41,with_message_shuffled,64,64,5057,5121,47,-0.8477210949046629,-0.9007369329326216,-1.0853595469671178,0.06072050333023071,0.19570320844650269,0.7323567708333333,0.9234700520833333,0.9748697916666667,
0,own_sensor,sensor_failure_only,42,context_only,64,64,5057,5121,80,-0.9547457590315415,-0.9194286410491754,-1.1239947068557514,0.05849246680736542,0.18590675294399261,0.7561197916666667,0.9323567708333333,0.975390625,
0,own_sensor,sensor_failure_only,42,with_message,64,64,5057,5121,34,-0.6759831612234021,-0.7848456368847172,-0.9532128239591529,0.07655917853116989,0.22534210979938507,0.6649739583333333,0.9005208333333333,0.97392578125,-0.24638617552860245
0,own_sensor,sensor_failure_only,42,with_message_shuffled,64,64,5057,5121,34,-0.6759831612234021,-0.7848456368847172,-0.9253561662426056,0.07655917853116989,0.2346155047416687,0.6465494791666667,0.8952473958333333,0.9730143229166667,
0,own_sensor,sensor_failure_only,43,context_only,64,64,5057,5121,38,-0.7371691731125783,-0.9220774215455655,-1.1376114470176266,0.058183424174785614,0.18194065988063812,0.737109375,0.9299479166666667,0.97978515625,
0,own_sensor,sensor_failure_only,43,with_message,64,64,5057,5121,80,-0.9084020999295441,-0.9065568314529057,-1.1523629831096371,0.06001783162355423,0.1746777594089508,0.7634765625,0.9384765625,0.9806315104166666,0.021281967965438138
0,own_sensor,sensor_failure_only,43,with_message_shuffled,64,64,5057,5121,80,-0.9084020999295441,-0.9065568314529057,-1.1427311232445698,0.06001783162355423,0.17795641720294952,0.7623046875,0.9327799479166666,0.97919921875,
0,own_sensor,limb_loss_sensor_loss,41,context_only,64,64,5057,5121,50,-0.8179694938250853,-0.9194923847941312,-0.9268607203376139,0.058485012501478195,0.24004819989204407,0.7149739583333333,0.8850911458333334,0.9456705729166667,
0,own_sensor,limb_loss_sensor_loss,41,with_message,64,64,5057,5121,47,-0.8477210949046629,-0.9007369329326216,-0.8726729723472737,0.06072050333023071,0.2532362937927246,0.6286783854166667,0.85947265625,0.942578125,-0.07817639530260471
0,own_sensor,limb_loss_sensor_loss,41,with_message_shuffled,64,64,5057,5121,47,-0.8477210949046629,-0.9007369329326216,-0.7506423440408483,0.06072050333023071,0.28097712993621826,0.6017578125,0.82958984375,0.92353515625,
0,own_sensor,limb_loss_sensor_loss,42,context_only,64,64,5057,5121,80,-0.9547457590315415,-0.9194286410491754,-0.8011114422722013,0.05849246680736542,0.268949419260025,0.72001953125,0.8565755208333333,0.9219401041666667,
0,own_sensor,limb_loss_sensor_loss,42,with_message,64,64,5057,5121,34,-0.6759831612234021,-0.7848456368847172,-0.8901300297530438,0.07655917853116989,0.2458418309688568,0.6711263020833333,0.8807291666666667,0.9624348958333333,0.12842667470555177
0,own_sensor,limb_loss_sensor_loss,42,with_message_shuffled,64,64,5057,5121,34,-0.6759831612234021,-0.7848456368847172,-0.7401508779290872,0.07655917853116989,0.2887953817844391,0.6283528645833333,0.8537109375,0.93740234375,
0,own_sensor,limb_loss_sensor_loss,43,context_only,64,64,5057,5121,38,-0.7371691731125783,-0.9220774215455655,-1.1095792804687765,0.058183424174785614,0.19069457054138184,0.73505859375,0.9125,0.97255859375,
0,own_sensor,limb_loss_sensor_loss,43,with_message,64,64,5057,5121,80,-0.9084020999295441,-0.9065568314529057,-1.005438599127545,0.06001783162355423,0.21942764520645142,0.6109375,0.8715169270833333,0.965625,-0.15024324452579257
0,own_sensor,limb_loss_sensor_loss,43,with_message_shuffled,64,64,5057,5121,80,-0.9084020999295441,-0.9065568314529057,-0.9497467719592517,0.06001783162355423,0.2341655045747757,0.5856119791666666,0.8494791666666667,0.9562825520833333,
0,own_sensor,limb_loss_sensor_loss_cc_dropout,41,context_only,64,64,5057,5121,50,-0.8179694938250853,-0.9194923847941312,-0.8755712635985631,0.058485012501478195,0.25223493576049805,0.6597330729166667,0.8527669270833333,0.94296875,
0,own_sensor,limb_loss_sensor_loss_cc_dropout,41,with_message,64,64,5057,5121,47,-0.8477210949046629,-0.9007369329326216,-0.8735679741403999,0.06072050333023071,0.25302159786224365,0.61826171875,0.8583333333333333,0.9430338541666666,-0.0028901357667571776
0,own_sensor,limb_loss_sensor_loss_cc_dropout,41,with_message_shuffled,64,64,5057,5121,47,-0.8477210949046629,-0.9007369329326216,-0.7586924166774629,0.06072050333023071,0.2792320251464844,0.60244140625,0.8306966145833333,0.92568359375,
0,own_sensor,limb_loss_sensor_loss_cc_dropout,42,context_only,64,64,5057,5121,80,-0.9547457590315415,-0.9194286410491754,-0.8134729461472663,0.05849246680736542,0.266247421503067,0.71591796875,0.8588216145833333,0.92451171875,
0,own_sensor,limb_loss_sensor_loss_cc_dropout,42,with_message,64,64,5057,5121,34,-0.6759831612234021,-0.7848456368847172,-0.8329319446791026,0.07655917853116989,0.263051837682724,0.62158203125,0.8492513020833333,0.9537760416666666,0.028073400682545855
0,own_sensor,limb_loss_sensor_loss_cc_dropout,42,with_message_shuffled,64,64,5057,5121,34,-0.6759831612234021,-0.7848456368847172,-0.6794395789957546,0.07655917853116989,0.30446475744247437,0.5898111979166667,0.82216796875,0.9269856770833333,
0,own_sensor,limb_loss_sensor_loss_cc_dropout,43,context_only,64,64,5057,5121,38,-0.7371691731125783,-0.9220774215455655,-1.0887621119145279,0.058183424174785614,0.1969437599182129,0.7150065104166666,0.904296875,0.9689127604166666,
0,own_sensor,limb_loss_sensor_loss_cc_dropout,43,with_message,64,64,5057,5121,80,-0.9084020999295441,-0.9065568314529057,-1.0018534083345427,0.06001783162355423,0.22040608525276184,0.60908203125,0.87158203125,0.9626627604166667,-0.12538275566493348
0,own_sensor,limb_loss_sensor_loss_cc_dropout,43,with_message_shuffled,64,64,5057,5121,80,-0.9084020999295441,-0.9065568314529057,-0.9387216365942765,0.06001783162355423,0.23697449266910553,0.5817057291666666,0.8434895833333333,0.9545247395833333,
0,peer_sensor,intact,41,context_only,64,63,5057,5104,25,-0.5679769684005688,-0.5133646416513185,-0.06338457447960938,0.13176579773426056,0.5003496408462524,0.42367621527777777,0.7302300347222223,0.8775173611111111,
0,peer_sensor,intact,41,with_message,64,63,5057,5104,51,-0.8248032585919591,-0.7097791621605851,-0.06372682131338989,0.0889609083533287,0.45156142115592957,0.4773003472222222,0.6866102430555555,0.8258246527777777,0.0004937578098550873
0,peer_sensor,intact,41,with_message_shuffled,64,63,5057,5104,51,-0.8248032585919591,-0.7097791621605851,0.5406399045070678,0.0889609083533287,0.5580660700798035,0.37180989583333335,0.6096788194444445,0.781640625,
0,peer_sensor,intact,42,context_only,64,63,5057,5104,53,-0.7194608354751331,-0.617528102959743,-0.34663589849129,0.10698612034320831,0.4061397910118103,0.5819878472222222,0.8051649305555556,0.9155381944444444,
0,peer_sensor,intact,42,with_message,64,63,5057,5104,80,-0.8209261840321527,-0.6308685497539332,-0.25400775822534377,0.10416937619447708,0.4274155795574188,0.5214192708333333,0.7337239583333334,0.8767361111111112,-0.13363415860844793
0,peer_sensor,intact,42,with_message_shuffled,64,63,5057,5104,80,-0.8209261840321527,-0.6308685497539332,-0.1808174011713166,0.10416937619447708,0.44489604234695435,0.4833767361111111,0.7483723958333334,0.8892361111111111,
0,peer_sensor,intact,43,context_only,64,63,5057,5104,24,-0.5510678730768618,-0.5545972048674012,-0.03312864677017826,0.12133567780256271,0.4978766441345215,0.3933159722222222,0.6849609375,0.8560329861111111,
0,peer_sensor,intact,43,with_message,64,63,5057,5104,80,-0.8056197468332648,-0.6044700861492014,-0.3545836108174147,0.10981697589159012,0.4058331251144409,0.5450737847222222,0.7980251736111111,0.9094184027777777,0.4637614825000881
0,peer_sensor,intact,43,with_message_shuffled,64,63,5057,5104,80,-0.8056197468332648,-0.6044700861492014,0.11112156361368208,0.10981697589159012,0.516706109046936,0.42866753472222224,0.677734375,0.8358289930555556,
0,peer_sensor,limb_slip_sensor_retained,41,context_only,64,63,5057,5104,25,-0.5679769684005688,-0.5133646416513185,0.3164247538980534,0.13176579773426056,0.5919809937477112,0.3905654761904762,0.6902678571428571,0.8329761904761904,
