regime,seed,task,cc_gain,cc_mode,limb_condition,rms_path_error,late_path_error,late_heading_error,post_event_path_integral
capacity,9101,straight,0.0,always,intact,0.46259826857860004,0.6180160406307385,0.0992780053521585,3.291084917110122
capacity,9101,straight,0.0,always,L4 failure,1.4659012323931517,2.2984508413244233,0.9253730196664511,10.764174203778332
capacity,9101,straight,0.0,always,L4 slip,0.72852638729899,1.0883668621862346,0.2672843200894209,5.458507814394659
capacity,9101,straight,0.0,dropout,intact,0.46259826857860004,0.6180160406307385,0.0992780053521585,3.291084917110122
capacity,9101,straight,0.0,dropout,L4 failure,1.4659012323931517,2.2984508413244233,0.9253730196664511,10.764174203778332
capacity,9101,straight,0.0,dropout,L4 slip,0.72852638729899,1.0883668621862346,0.2672843200894209,5.458507814394659
capacity,9101,straight,0.0,intermittent,intact,0.46259826857860004,0.6180160406307385,0.0992780053521585,3.291084917110122
capacity,9101,straight,0.0,intermittent,L4 failure,1.4659012323931517,2.2984508413244233,0.9253730196664511,10.764174203778332
capacity,9101,straight,0.0,intermittent,L4 slip,0.72852638729899,1.0883668621862346,0.2672843200894209,5.458507814394659
capacity,9101,straight,0.0,delayed,intact,0.46259826857860004,0.6180160406307385,0.0992780053521585,3.291084917110122
capacity,9101,straight,0.0,delayed,L4 failure,1.4659012323931517,2.2984508413244233,0.9253730196664511,10.764174203778332
capacity,9101,straight,0.0,delayed,L4 slip,0.72852638729899,1.0883668621862346,0.2672843200894209,5.458507814394659
capacity,9101,straight,0.0,noisy,intact,0.46259826857860004,0.6180160406307385,0.0992780053521585,3.291084917110122
capacity,9101,straight,0.0,noisy,L4 failure,1.4659012323931517,2.2984508413244233,0.9253730196664511,10.764174203778332
capacity,9101,straight,0.0,noisy,L4 slip,0.72852638729899,1.0883668621862346,0.2672843200894209,5.458507814394659
capacity,9101,straight,0.0,stuck,intact,0.46259826857860004,0.6180160406307385,0.0992780053521585,3.291084917110122
capacity,9101,straight,0.0,stuck,L4 failure,1.4659012323931517,2.2984508413244233,0.9253730196664511,10.764174203778332
capacity,9101,straight,0.0,stuck,L4 slip,0.72852638729899,1.0883668621862346,0.2672843200894209,5.458507814394659
capacity,9101,straight,0.025,always,intact,0.4164126135500556,0.5250708118223477,0.05671562562969934,2.8795414322396002
capacity,9101,straight,0.025,always,L4 failure,1.3617624658080365,2.134684591867773,0.8014114312358191,10.068362218123426
capacity,9101,straight,0.025,always,L4 slip,0.6576679051671412,0.9651206821617603,0.19887963698856487,4.920461102853441
capacity,9101,straight,0.025,dropout,intact,0.4304332817668824,0.5550415512028308,0.08515956666139217,3.000423359531864
capacity,9101,straight,0.025,dropout,L4 failure,1.4192155653225869,2.2212910460860655,0.9019181725718844,10.416431451032887
capacity,9101,straight,0.025,dropout,L4 slip,0.6865330918934515,1.0151511685375265,0.2499099287523479,5.122128499613344
capacity,9101,straight,0.025,intermittent,intact,0.4461715619201715,0.5856001247856085,0.08386347436702228,3.1480002279362336
capacity,9101,straight,0.025,intermittent,L4 failure,1.4307208640176832,2.243207762640746,0.8832514631384443,10.529800067267935
capacity,9101,straight,0.025,intermittent,L4 slip,0.7039782502496047,1.0460367010929648,0.24271754142312546,5.274848959354364
capacity,9101,straight,0.025,delayed,intact,0.4199411762461425,0.532111959182993,0.05855005681943261,2.912465653222842
capacity,9101,straight,0.025,delayed,L4 failure,1.372092877800481,2.151351557601854,0.8097432984753915,10.140444534316643
capacity,9101,straight,0.025,delayed,L4 slip,0.663737564546312,0.975748313396797,0.20289658944191674,4.968664708872487
capacity,9101,straight,0.025,noisy,intact,0.4129586654590262,0.5181316282353154,0.05647081823505627,2.8460432928973
capacity,9101,straight,0.025,noisy,L4 failure,1.3586819576777138,2.1291426379196254,0.8040510073370823,10.040828818499115
capacity,9101,straight,0.025,noisy,L4 slip,0.6544514874997814,0.9594180692879736,0.19925318783013185,4.8925049836621115
capacity,9101,straight,0.025,stuck,intact,0.41928934182187183,0.5312634943998491,0.06516714075847192,2.9043777347616637
capacity,9101,straight,0.025,stuck,L4 failure,1.3874173359723616,2.1724955868170555,0.8542265104476698,10.219798572642608
capacity,9101,straight,0.025,stuck,L4 slip,0.6668151159531873,0.9807461454990098,0.22098911526611342,4.983127584745718
capacity,9101,straight,0.05,always,intact,0.38015443859364356,0.44684972406260953,0.023707734646519745,2.5311678235482007
