regime,seed,task,scenario,rms_path_error,late_path_error,late_heading_error,post_event_path_integral
capacity,9101,straight,CC dropout only,0.3570236033735251,0.4002679928349517,0.05015856138093917,2.2877190630062145
capacity,9101,straight,CC intermittent only,0.4036684345010447,0.4980459054265912,0.04432605734366553,2.7601801456734147
capacity,9101,straight,L4 loss only,1.1060221048303251,1.727705307494967,0.48467765794847234,9.143899201960947
capacity,9101,straight,L4 loss + CC dropout,1.3002015204443864,2.0242825825557307,0.8424859830348275,9.530311144470122
capacity,9101,straight,L4 slip only,0.5090551952590033,0.6913500252368308,0.06262605333999242,4.719577263500272
capacity,9101,straight,L4 slip + CC dropout,0.5825742328602201,0.8304011120685676,0.20609942971960143,4.274964457926511
capacity,9101,s_lr,CC dropout only,0.5637394574320418,0.5906958718371621,0.01987993135908541,4.018814282533678
capacity,9101,s_lr,CC intermittent only,0.6312705607146042,0.7205761953292381,0.007843352118945005,4.680592325533553
capacity,9101,s_lr,L4 loss only,1.0565587551667381,1.5463079374553084,0.2619889405965802,9.586767011247979
capacity,9101,s_lr,L4 loss + CC dropout,1.2950175340348855,1.962973751255938,0.7104653279726805,10.108238253733596
capacity,9101,s_lr,L4 slip only,0.6529575453635312,0.7290947255795581,0.060962004778562576,6.199366088715828
capacity,9101,s_lr,L4 slip + CC dropout,0.7606838894260015,0.9997473894337234,0.17143691924694077,5.903817256833872
capacity,9101,s_rl,CC dropout only,0.31466207427766785,0.2808204683647287,0.09392002975253584,1.728578521859153
capacity,9101,s_rl,CC intermittent only,0.32968443561419886,0.3322546709939537,0.09902597954960991,1.8647759033377285
capacity,9101,s_rl,L4 loss only,1.2203689415514978,1.8978956097567476,0.725898679431135,9.420514162970601
capacity,9101,s_rl,L4 loss + CC dropout,1.3589349774488302,2.0943927314785453,1.0092232778632575,9.498398987027787
capacity,9101,s_rl,L4 slip only,0.5003785452279458,0.6803937946636399,0.19228779742744948,4.197991372787638
capacity,9101,s_rl,L4 slip + CC dropout,0.5155641365752305,0.7013349947441285,0.25804997011113334,3.4013344475731753
capacity,9101,sine,CC dropout only,0.44650260024792,0.4836002921058869,0.017486685211782087,2.6600876588471127
capacity,9101,sine,CC intermittent only,0.5828305517361909,0.7660643571755564,0.03612293236536946,4.016164534000949
capacity,9101,sine,L4 loss only,1.1538390035362718,1.7928059758973354,0.4472076954230701,9.71444888530469
capacity,9101,sine,L4 loss + CC dropout,1.3473123686322126,2.0954730728368087,0.8050112393939648,9.798771690980226
capacity,9101,sine,L4 slip only,0.5631750994037716,0.725282781125172,0.049936001444894504,5.331451635730719
capacity,9101,sine,L4 slip + CC dropout,0.6289266399940452,0.8633809558100886,0.1508312916985384,4.395052413575349
capacity,9101,chirp,CC dropout only,0.5654251688691976,0.6416432748314367,0.02264922853249359,3.7991907698171183
capacity,9101,chirp,CC intermittent only,0.6981267804148074,0.9033233501542661,0.027680470208946827,5.072708126064218
capacity,9101,chirp,L4 loss only,1.1117306708678711,1.6773416248934019,0.35553050196779445,9.824454170331634
capacity,9101,chirp,L4 loss + CC dropout,1.317436890216552,2.012562053205596,0.7394007242692099,9.797787218833072
capacity,9101,chirp,L4 slip only,0.6558532157798231,0.8085975638921937,0.04337817441515202,6.41557087806423
capacity,9101,chirp,L4 slip + CC dropout,0.7473347569781185,1.0086759186233016,0.1515208206217456,5.4787980854253
capacity,9102,straight,CC dropout only,0.31852286582236367,0.32758582885271165,0.10146230939475873,1.7757062173403562
capacity,9102,straight,CC intermittent only,0.3060301477441401,0.2968518334979535,0.08466512164393872,1.6418518455168583
capacity,9102,straight,L4 loss only,0.6759492069942408,0.9930054091165313,0.2404568139347992,5.745121313232417
capacity,9102,straight,L4 loss + CC dropout,0.7318786723001739,1.08421874816642,0.38106330204464395,5.361831522581323
