regime,condition,history,levels,rate_per_receiver_bits_per_step,rate_shared_bus_bits_per_step,gain_bits_per_action,shuffle_gap_bits_per_action,eta_per_receiver,eta_shared_bus,context_test_nll_nats,message_test_nll_nats,shuffled_test_nll_nats,context_best_epoch,message_best_epoch,model_seed
own_sensor,intact,4,full_precision,,,-0.24904231529562929,0.5575681840538528,,,-0.7260587215423584,-0.553435742855072,-0.16695892810821533,21,24,41
own_sensor,limb_loss_sensor_loss_cc_dropout,4,full_precision,,,-0.07062527751609039,0.2485814447869797,,,-0.3900195062160492,-0.34106579422950745,-0.16876226663589478,21,24,41
own_sensor,intact,4,1,0.0,0.0,0.0,0.0,,,-0.7260587215423584,-0.7260587215423584,-0.7260587215423584,21,25,41
own_sensor,limb_loss_sensor_loss_cc_dropout,4,1,0.0,0.0,0.0,0.0,,,-0.3900195062160492,-0.3900195062160492,-0.3900195062160492,21,25,41
own_sensor,intact,4,3,1.584962500721156,6.339850002884624,-0.11417094074925181,0.05677663252933902,-0.07203384351194692,-0.07203384351194692,-0.7260587215423584,-0.6469214558601379,-0.6075668931007385,21,25,41
own_sensor,limb_loss_sensor_loss_cc_dropout,4,3,1.584962500721156,6.339850002884624,0.0727783713179046,0.009128022190206284,0.04591803988093758,0.04591803988093758,-0.3900195062160492,-0.44046562910079956,-0.43413856625556946,21,25,41
own_sensor,intact,4,9,3.169925001442312,12.679700005769249,0.028961362457344385,0.09632997649669663,0.009136292639152976,0.009136292639152976,-0.7260587215423584,-0.7461332082748413,-0.6793623566627502,21,38,41
own_sensor,limb_loss_sensor_loss_cc_dropout,4,9,3.169925001442312,12.679700005769249,0.26061799457291507,0.0687332103826232,0.08221582354608838,0.08221582354608838,-0.3900195062160492,-0.5706661343574524,-0.5230239033699036,21,38,41
own_sensor,intact,4,33,5.044394119358453,20.177576477433814,-0.2479002645025748,0.5281995236836026,-0.04914371451493619,-0.04914371451493619,-0.7260587215423584,-0.554227352142334,-0.18810734152793884,21,24,41
own_sensor,limb_loss_sensor_loss_cc_dropout,4,33,5.044394119358453,20.177576477433814,-0.07290473557062606,0.23526338777597142,-0.014452624804006808,-0.014452624804006808,-0.3900195062160492,-0.3394857943058014,-0.1764136403799057,21,24,41
