regime,seed,split,task,condition,limb,retained_strength,loss,excess_loss
capacity,9101,OOS,s_lr,L2,2,0.0,0.1305249395033244,0.10994215727593099
capacity,9101,OOS,s_lr,L3,3,0.5,0.024593260618229786,0.004010478390836382
capacity,9101,OOS,s_lr,L3,3,0.0,0.13716373144459149,0.11658094921719808
capacity,9101,OOS,s_lr,L4,4,0.5,0.03308339685364298,0.012500614626249573
capacity,9101,OOS,s_lr,L4,4,0.0,0.14283174831551831,0.12224896608812491
capacity,9101,OOS,s_rl,intact,0,1.0,0.019667956631275123,0.0
capacity,9101,OOS,s_rl,L1,1,0.5,0.020427424758626925,0.000759468127351802
capacity,9101,OOS,s_rl,L1,1,0.0,0.06481646332026254,0.04514850668898742
capacity,9101,OOS,s_rl,L2,2,0.5,0.0410595293396766,0.021391572708401474
capacity,9101,OOS,s_rl,L2,2,0.0,0.12619252931508151,0.10652457268380638
capacity,9101,OOS,s_rl,L3,3,0.5,0.022544232347111063,0.00287627571583594
capacity,9101,OOS,s_rl,L3,3,0.0,0.11295826905234513,0.09329031242107
capacity,9101,OOS,s_rl,L4,4,0.5,0.03403233880628264,0.014364382175007517
capacity,9101,OOS,s_rl,L4,4,0.0,0.1814569165304652,0.16178895989919007
capacity,9101,OOS,sine,intact,0,1.0,0.01495389812198915,0.0
capacity,9101,OOS,sine,L1,1,0.5,0.014296823931837392,-0.0006570741901517577
capacity,9101,OOS,sine,L1,1,0.0,0.055432251331708315,0.04047835320971917
capacity,9101,OOS,sine,L2,2,0.5,0.039454494632797,0.024500596510807854
capacity,9101,OOS,sine,L2,2,0.0,0.12764782226357196,0.11269392414158282
capacity,9101,OOS,sine,L3,3,0.5,0.0178858034381244,0.00293190531613525
capacity,9101,OOS,sine,L3,3,0.0,0.12094029100229814,0.10598639288030899
capacity,9101,OOS,sine,L4,4,0.5,0.029644958572667288,0.014691060450678138
capacity,9101,OOS,sine,L4,4,0.0,0.160717081008769,0.14576318288677984
capacity,9101,OOS,chirp,intact,0,1.0,0.021074238952001053,0.0
capacity,9101,OOS,chirp,L1,1,0.5,0.021697926116461107,0.0006236871644600545
capacity,9101,OOS,chirp,L1,1,0.0,0.06598712186467343,0.04491288291267237
capacity,9101,OOS,chirp,L2,2,0.5,0.04749618622160237,0.026421947269601318
capacity,9101,OOS,chirp,L2,2,0.0,0.13812671258214693,0.11705247363014587
capacity,9101,OOS,chirp,L3,3,0.5,0.024812465786529327,0.0037382268345282736
capacity,9101,OOS,chirp,L3,3,0.0,0.1287491785570564,0.10767493960505534
capacity,9101,OOS,chirp,L4,4,0.5,0.03688793927298926,0.015813700320988205
capacity,9101,OOS,chirp,L4,4,0.0,0.1587184470580038,0.13764420810600275
capacity,9101,OOS,left,intact,0,1.0,0.04403010900723177,0.0
capacity,9101,OOS,left,L1,1,0.5,0.051244931371270876,0.007214822364039107
capacity,9101,OOS,left,L1,1,0.0,0.11697789551041338,0.07294778650318161
capacity,9101,OOS,left,L2,2,0.5,0.08003660146766972,0.03600649246043795
capacity,9101,OOS,left,L2,2,0.0,0.19668120213159654,0.15265109312436476
capacity,9101,OOS,left,L3,3,0.5,0.05669345246489183,0.012663343457660063
capacity,9101,OOS,left,L3,3,0.0,0.17558747465872387,0.13155736565149212
capacity,9101,OOS,left,L4,4,0.5,0.06741536052998014,0.023385251522748368
capacity,9101,OOS,left,L4,4,0.0,0.258230044361316,0.21419993535408427
capacity,9101,OOS,right,intact,0,1.0,0.03568964397077742,0.0
capacity,9101,OOS,right,L1,1,0.5,0.031215930766384268,-0.004473713204393149
capacity,9101,OOS,right,L1,1,0.0,0.05819025390604356,0.02250060993526614
capacity,9101,OOS,right,L2,2,0.5,0.0438247552611633,0.008135111290385882
capacity,9101,OOS,right,L2,2,0.0,0.09954502381247701,0.06385537984169959
