regime,seed,task,cc_gain,cc_mode,limb_condition,always_late_path_error,disrupted_late_path_error,retention_ratio
capacity,9101,s_rl,0.4,delayed,intact,0.43635110596660037,0.4382044619523759,0.9957705679729547
capacity,9101,s_rl,0.4,delayed,L4 failure,1.4617458632840372,1.5149878490907862,0.9648564931799936
capacity,9101,s_rl,0.4,delayed,L4 slip,0.6284064240997982,0.6359026065574624,0.9882117444080851
capacity,9101,s_rl,0.4,noisy,intact,0.43635110596660037,0.44293211541909294,0.9851421713996381
capacity,9101,s_rl,0.4,noisy,L4 failure,1.4617458632840372,1.4684594116956884,0.9954281688971581
capacity,9101,s_rl,0.4,noisy,L4 slip,0.6284064240997982,0.6397762528517501,0.9822284295466238
capacity,9101,s_rl,0.4,stuck,intact,0.43635110596660037,0.5903891667470982,0.7390906380799459
capacity,9101,s_rl,0.4,stuck,L4 failure,1.4617458632840372,1.9609738551720213,0.7454183335635596
capacity,9101,s_rl,0.4,stuck,L4 slip,0.6284064240997982,0.8334428977999888,0.7539885764922606
capacity,9101,s_rl,1.0,dropout,intact,0.5592736320810321,0.6045742391350272,0.9250702326999455
capacity,9101,s_rl,1.0,dropout,L4 failure,1.2188255986059295,2.178732497256563,0.5594195708471149
capacity,9101,s_rl,1.0,dropout,L4 slip,0.6493322425693706,0.8858276150135383,0.7330232559519457
capacity,9101,s_rl,1.0,intermittent,intact,0.5592736320810321,0.4129312848433074,1.3543987888765958
capacity,9101,s_rl,1.0,intermittent,L4 failure,1.2188255986059295,1.543582573230545,0.7896082916089577
capacity,9101,s_rl,1.0,intermittent,L4 slip,0.6493322425693706,0.6218035509607314,1.0442723293652882
capacity,9101,s_rl,1.0,delayed,intact,0.5592736320810321,0.6368708549205756,0.87815862157922
capacity,9101,s_rl,1.0,delayed,L4 failure,1.2188255986059295,1.2721123872074098,0.9581115716367974
capacity,9101,s_rl,1.0,delayed,L4 slip,0.6493322425693706,0.7116310063947537,0.9124563667609152
capacity,9101,s_rl,1.0,noisy,intact,0.5592736320810321,0.6210659781555451,0.9005059876922815
capacity,9101,s_rl,1.0,noisy,L4 failure,1.2188255986059295,1.303737100089866,0.934870687136169
capacity,9101,s_rl,1.0,noisy,L4 slip,0.6493322425693706,0.7302242798202829,0.8892230243688681
capacity,9101,s_rl,1.0,stuck,intact,0.5592736320810321,1.231850408412311,0.4540109970023555
capacity,9101,s_rl,1.0,stuck,L4 failure,1.2188255986059295,1.9414857995274146,0.6277798163152206
capacity,9101,s_rl,1.0,stuck,L4 slip,0.6493322425693706,1.293318023599311,0.5020669554749384
capacity,9101,sine,0.0,dropout,intact,1.0274493228875183,1.0274493228875183,1.0
capacity,9101,sine,0.0,dropout,L4 failure,2.6908417096921147,2.6908417096921147,1.0
capacity,9101,sine,0.0,dropout,L4 slip,1.4438939856961357,1.4438939856961357,1.0
capacity,9101,sine,0.0,intermittent,intact,1.0274493228875183,1.0274493228875183,1.0
capacity,9101,sine,0.0,intermittent,L4 failure,2.6908417096921147,2.6908417096921147,1.0
capacity,9101,sine,0.0,intermittent,L4 slip,1.4438939856961357,1.4438939856961357,1.0
capacity,9101,sine,0.0,delayed,intact,1.0274493228875183,1.0274493228875183,1.0
capacity,9101,sine,0.0,delayed,L4 failure,2.6908417096921147,2.6908417096921147,1.0
capacity,9101,sine,0.0,delayed,L4 slip,1.4438939856961357,1.4438939856961357,1.0
capacity,9101,sine,0.0,noisy,intact,1.0274493228875183,1.0274493228875183,1.0
capacity,9101,sine,0.0,noisy,L4 failure,2.6908417096921147,2.6908417096921147,1.0
capacity,9101,sine,0.0,noisy,L4 slip,1.4438939856961357,1.4438939856961357,1.0
capacity,9101,sine,0.0,stuck,intact,1.0274493228875183,1.0274493228875183,1.0
capacity,9101,sine,0.0,stuck,L4 failure,2.6908417096921147,2.6908417096921147,1.0
capacity,9101,sine,0.0,stuck,L4 slip,1.4438939856961357,1.4438939856961357,1.0
capacity,9101,sine,0.025,dropout,intact,0.825350815429766,0.8711768003564557,0.9473976064239321
capacity,9101,sine,0.025,dropout,L4 failure,2.4250633053076207,2.5214247724811787,0.9617829299429248
capacity,9101,sine,0.025,dropout,L4 slip,1.2150215777312607,1.2780246451109334,0.9507027758653246
capacity,9101,sine,0.025,intermittent,intact,0.825350815429766,0.9567910355966358,0.8626239008553144
capacity,9101,sine,0.025,intermittent,L4 failure,2.4250633053076207,2.6010649325448645,0.9323347814062277
capacity,9101,sine,0.025,intermittent,L4 slip,1.2150215777312607,1.3656853939802798,0.8896789722485715
capacity,9101,sine,0.025,delayed,intact,0.825350815429766,0.838770501735425,0.9840007650747212
capacity,9101,sine,0.025,delayed,L4 failure,2.4250633053076207,2.4458052372330052,0.9915193852684483
capacity,9101,sine,0.025,delayed,L4 slip,1.2150215777312607,1.2314774019584196,0.9866373315490896
capacity,9101,sine,0.025,noisy,intact,0.825350815429766,0.8181152459135912,1.0088441934706824
capacity,9101,sine,0.025,noisy,L4 failure,2.4250633053076207,2.4195284280696923,1.0022875851234962
capacity,9101,sine,0.025,noisy,L4 slip,1.2150215777312607,1.209166907218656,1.0048419043538594
capacity,9101,sine,0.025,stuck,intact,0.825350815429766,0.8313320999423564,0.9928051803689463
capacity,9101,sine,0.025,stuck,L4 failure,2.4250633053076207,2.459148709548608,0.9861393480969095
capacity,9101,sine,0.025,stuck,L4 slip,1.2150215777312607,1.229559702204503,0.9881761540759862
capacity,9101,sine,0.05,dropout,intact,0.6552536467315798,0.7283827972368868,0.899600662203004
capacity,9101,sine,0.05,dropout,L4 failure,2.1857187834199614,2.3660221185287655,0.9237947381400983
capacity,9101,sine,0.05,dropout,L4 slip,1.0209055057185885,1.1261975918040483,0.9065065607920604
capacity,9101,sine,0.05,intermittent,intact,0.6552536467315798,0.8897329385005588,0.736461041709729
capacity,9101,sine,0.05,intermittent,L4 failure,2.1857187834199614,2.5140637283352896,0.8693967295997127
capacity,9101,sine,0.05,intermittent,L4 slip,1.0209055057185885,1.2912548601331757,0.7906305232518511
capacity,9101,sine,0.05,delayed,intact,0.6552536467315798,0.6756422567703128,0.9698233646068941
capacity,9101,sine,0.05,delayed,L4 failure,2.1857187834199614,2.2214356574438487,0.9839217157137984
capacity,9101,sine,0.05,delayed,L4 slip,1.0209055057185885,1.0465728283424929,0.975474881509627
capacity,9101,sine,0.05,noisy,intact,0.6552536467315798,0.6422337067956324,1.0202729003448125
capacity,9101,sine,0.05,noisy,L4 failure,2.1857187834199614,2.1758924900589753,1.00451598293844
capacity,9101,sine,0.05,noisy,L4 slip,1.0209055057185885,1.0104514428510747,1.0103459329406437
capacity,9101,sine,0.05,stuck,intact,0.6552536467315798,0.6598095307886063,0.9930951527002326
capacity,9101,sine,0.05,stuck,L4 failure,2.1857187834199614,2.251314442567273,0.9708633952205673
capacity,9101,sine,0.05,stuck,L4 slip,1.0209055057185885,1.0406668812445636,0.9810108538264022
capacity,9101,sine,0.1,dropout,intact,0.40545604644388733,0.4836002921058869,0.8384115002873294
capacity,9101,sine,0.1,dropout,L4 failure,1.7928059758973354,2.0954730728368087,0.8555614477404242
