regime,seed,train_loss
capacity,9101,0.013018172192474147
capacity,9102,0.016210938401790307
capacity,9103,0.01724315051915054
capacity,9104,0.016358889188109307
capacity,9105,0.013951980074559485
capacity,9106,0.02328931183505021
act_comm,9101,0.015170950312028548
act_comm,9102,0.019752161275274464
act_comm,9103,0.014630006435768813
act_comm,9104,0.020262516326310886
act_comm,9105,0.023261848365605024
act_comm,9106,0.016073446783298775
sensor_comm,9101,0.015149112767918744
sensor_comm,9102,0.0173801197032532
sensor_comm,9103,0.013418410643857277
sensor_comm,9104,0.025669722234385916
sensor_comm,9105,0.02093609916378446
sensor_comm,9106,0.01750677715974424
