regime,cc_gain,cc_mode,limb_condition,mean,std,n
capacity,0.4,dropout,L4 failure,0.8756201454221104,0.13412776856410016,30
capacity,0.4,dropout,L4 slip,0.9888807230537011,0.1912966196705567,30
capacity,0.4,dropout,intact,0.9700840874994272,0.33998025391553915,30
capacity,0.4,intermittent,L4 failure,0.8169298820955936,0.12797927568382078,30
capacity,0.4,intermittent,L4 slip,0.9038241030665136,0.175597570065675,30
capacity,0.4,intermittent,intact,1.0595618868116075,0.2095891530577422,30
capacity,0.4,noisy,L4 failure,0.9942131797570999,0.012332906290297313,30
capacity,0.4,noisy,L4 slip,0.9684606528492926,0.029500789608086768,30
capacity,0.4,noisy,intact,0.9898501083571609,0.0272919830197936,30
capacity,0.4,stuck,L4 failure,0.9299068143892519,0.07711835159893705,30
capacity,0.4,stuck,L4 slip,0.8585740616379913,0.13591577279265113,30
capacity,0.4,stuck,intact,0.7782123337010357,0.1469182920740586,30
capacity,1.0,delayed,L4 failure,0.9870684398962238,0.015771892303123487,30
capacity,1.0,delayed,L4 slip,0.9585565647981232,0.034331568665414335,30
capacity,1.0,delayed,intact,0.9219084834387451,0.07463407314624808,30
capacity,1.0,dropout,L4 failure,0.8948683037355754,0.14470134875899182,30
capacity,1.0,dropout,L4 slip,0.9267401317914817,0.30315480308073817,30
capacity,1.0,dropout,intact,0.836063603149916,0.43337692245025905,30
capacity,1.0,intermittent,L4 failure,0.9193088678369365,0.08947544607191711,30
capacity,1.0,intermittent,L4 slip,0.9515287955235342,0.22282175618172578,30
capacity,1.0,intermittent,intact,0.936068611046017,0.33267945852744435,30
capacity,1.0,noisy,L4 failure,0.9175762962225099,0.0630089021151366,30
capacity,1.0,noisy,L4 slip,0.8173193363621541,0.13450029441098443,30
capacity,1.0,noisy,intact,0.843979304572753,0.1605228935834525,30
capacity,1.0,stuck,L4 failure,0.8763328377304347,0.13538825395456705,30
capacity,1.0,stuck,L4 slip,0.761996616871331,0.189956768581969,30
capacity,1.0,stuck,intact,0.663026160564352,0.19979164300507363,30
sensor_comm,0.0,delayed,L4 failure,1.0,0.0,30
sensor_comm,0.0,delayed,L4 slip,1.0,0.0,30
sensor_comm,0.0,delayed,intact,1.0,0.0,30
sensor_comm,0.0,dropout,L4 failure,1.0,0.0,30
sensor_comm,0.0,dropout,L4 slip,1.0,0.0,30
sensor_comm,0.0,dropout,intact,1.0,0.0,30
sensor_comm,0.0,intermittent,L4 failure,1.0,0.0,30
sensor_comm,0.0,intermittent,L4 slip,1.0,0.0,30
sensor_comm,0.0,intermittent,intact,1.0,0.0,30
sensor_comm,0.0,noisy,L4 failure,1.0,0.0,30
sensor_comm,0.0,noisy,L4 slip,1.0,0.0,30
sensor_comm,0.0,noisy,intact,1.0,0.0,30
sensor_comm,0.0,stuck,L4 failure,1.0,0.0,30
sensor_comm,0.0,stuck,L4 slip,1.0,0.0,30
sensor_comm,0.0,stuck,intact,1.0,0.0,30
sensor_comm,0.025,delayed,L4 failure,0.994739891468882,0.006908659274558125,30
sensor_comm,0.025,delayed,L4 slip,0.9924317294505507,0.00664153659840076,30
sensor_comm,0.025,delayed,intact,0.9928465895035363,0.0085938965099962,30
sensor_comm,0.025,dropout,L4 failure,0.9757346707010737,0.038241695782365345,30
sensor_comm,0.025,dropout,L4 slip,0.9663033025563541,0.0433286543372626,30
sensor_comm,0.025,dropout,intact,0.9679948663205437,0.04868727856658508,30
sensor_comm,0.025,intermittent,L4 failure,0.9712935747149236,0.06463009700356007,30
sensor_comm,0.025,intermittent,L4 slip,0.9483858915530624,0.05819623774017264,30
sensor_comm,0.025,intermittent,intact,0.9564742746869744,0.06856113531807735,30
sensor_comm,0.025,noisy,L4 failure,1.0006782707926793,0.005948766652735588,30
sensor_comm,0.025,noisy,L4 slip,1.0021118241918234,0.006086922801088942,30
sensor_comm,0.025,noisy,intact,1.0004813613084194,0.011592399248354583,30
sensor_comm,0.025,stuck,L4 failure,0.9889051460642933,0.010010078504715856,30
sensor_comm,0.025,stuck,L4 slip,0.9906048938446115,0.01042848705363975,30
sensor_comm,0.025,stuck,intact,0.9906174657583388,0.008217415623960571,30
sensor_comm,0.05,delayed,L4 failure,0.9902350029864931,0.01292831521261057,30
sensor_comm,0.05,delayed,L4 slip,0.9872193999981917,0.012427250424146108,30
sensor_comm,0.05,delayed,intact,0.986596812148314,0.01485269496167687,30
sensor_comm,0.05,dropout,L4 failure,0.953915239630406,0.07438941713085734,30
sensor_comm,0.05,dropout,L4 slip,0.94107291313709,0.0854282182321451,30
sensor_comm,0.05,dropout,intact,0.9369790944453824,0.09100171296648345,30
sensor_comm,0.05,intermittent,L4 failure,0.9468749532906933,0.12452061272530408,30
sensor_comm,0.05,intermittent,L4 slip,0.9121004739483759,0.11800118125937333,30
sensor_comm,0.05,intermittent,intact,0.9206508977954202,0.13141117578333714,30
sensor_comm,0.05,noisy,L4 failure,1.0014532132787313,0.011472037481908014,30
sensor_comm,0.05,noisy,L4 slip,1.003002253249311,0.011361190002748389,30
sensor_comm,0.05,noisy,intact,1.00103369878291,0.021792993255297148,30
sensor_comm,0.05,stuck,L4 failure,0.9799285670285653,0.021701458532491634,30
sensor_comm,0.05,stuck,L4 slip,0.9841267549841127,0.020873074176859737,30
sensor_comm,0.05,stuck,intact,0.980710446744728,0.0160139501935819,30
sensor_comm,0.1,delayed,L4 failure,0.9847034728763291,0.019054045475337407,30
sensor_comm,0.1,delayed,L4 slip,0.982945422285029,0.01957584086957873,30
sensor_comm,0.1,delayed,intact,0.9785998585863984,0.020834079935945056,30
sensor_comm,0.1,dropout,L4 failure,0.9440131323349472,0.11246088333438461,30
sensor_comm,0.1,dropout,L4 slip,0.916844956981422,0.15062965101706188,30
sensor_comm,0.1,dropout,intact,0.904956571953221,0.13415185730548862,30
sensor_comm,0.1,intermittent,L4 failure,0.9258916710407502,0.17374530793421727,30
sensor_comm,0.1,intermittent,L4 slip,0.8766691234906667,0.2154881426011453,30
sensor_comm,0.1,intermittent,intact,0.880877227381969,0.20408421546668234,30
sensor_comm,0.1,noisy,L4 failure,1.0005059157471146,0.015976787454575394,30
sensor_comm,0.1,noisy,L4 slip,1.0009730602521005,0.01679890532101354,30
sensor_comm,0.1,noisy,intact,1.0055708200231372,0.03480183830917607,30
sensor_comm,0.1,stuck,L4 failure,0.9556299821880185,0.04425842920611809,30
sensor_comm,0.1,stuck,L4 slip,0.9780327641952835,0.03792241223461863,30
sensor_comm,0.1,stuck,intact,0.9631626568818293,0.039372164970603,30
sensor_comm,0.2,delayed,L4 failure,0.9752458655392685,0.028944359757906327,30
sensor_comm,0.2,delayed,L4 slip,0.9814547790113487,0.0234425957311305,30
sensor_comm,0.2,delayed,intact,0.9707488394310148,0.02673829526433921,30
sensor_comm,0.2,dropout,L4 failure,0.9109713336957657,0.16346714404594676,30
sensor_comm,0.2,dropout,L4 slip,0.9515231161078356,0.20539407479520747,30
sensor_comm,0.2,dropout,intact,0.9060756314023442,0.3050319059626961,30
sensor_comm,0.2,intermittent,L4 failure,0.9529989108622406,0.2201267386159445,30
sensor_comm,0.2,intermittent,L4 slip,0.9096606946583436,0.30186016291928763,30
sensor_comm,0.2,intermittent,intact,0.8708098497000917,0.35379484866045136,30
sensor_comm,0.2,noisy,L4 failure,0.997641662516525,0.016062397555998826,30
sensor_comm,0.2,noisy,L4 slip,0.9942317548624784,0.019790880498242576,30
sensor_comm,0.2,noisy,intact,1.017907050671356,0.054008076211411446,30
sensor_comm,0.2,stuck,L4 failure,0.9180174771860191,0.09743376071519226,30
sensor_comm,0.2,stuck,L4 slip,0.9367842681153089,0.07168175493332403,30
sensor_comm,0.2,stuck,intact,0.9351841925030135,0.08134254685541924,30
sensor_comm,0.4,delayed,L4 failure,0.956553918754807,0.05868331053252187,30
sensor_comm,0.4,delayed,L4 slip,0.963382070290592,0.046313189300665115,30
sensor_comm,0.4,delayed,intact,0.9510681920323214,0.043966527075345214,30
sensor_comm,0.4,dropout,L4 failure,0.8730787713942795,0.29077821030605605,30
sensor_comm,0.4,dropout,L4 slip,1.0223776394455906,0.2870674213259234,30
sensor_comm,0.4,dropout,intact,1.0227862392977203,0.3646511538207665,30
sensor_comm,0.4,intermittent,L4 failure,0.9778483945268139,0.285442598228633,30
sensor_comm,0.4,intermittent,L4 slip,1.0499549791049099,0.3408324531969282,30
sensor_comm,0.4,intermittent,intact,0.9576255342572021,0.36176630637404644,30
sensor_comm,0.4,noisy,L4 failure,1.0072156270694301,0.03620030776564979,30
sensor_comm,0.4,noisy,L4 slip,0.984518389146259,0.03802554901674687,30
sensor_comm,0.4,noisy,intact,1.0037525042059532,0.05494546404737536,30
sensor_comm,0.4,stuck,L4 failure,0.8699787916642749,0.16104387345581858,30
sensor_comm,0.4,stuck,L4 slip,0.8411272532188552,0.14775108155734468,30
sensor_comm,0.4,stuck,intact,0.7825915523973579,0.15241021909793886,30
sensor_comm,1.0,delayed,L4 failure,0.9217839805598116,0.10978711456872095,30
sensor_comm,1.0,delayed,L4 slip,0.9483142974047876,0.06645362412599738,30
sensor_comm,1.0,delayed,intact,0.9422453952479641,0.06805555298835536,30
sensor_comm,1.0,dropout,L4 failure,0.7687187707539248,0.30636073021914867,30
sensor_comm,1.0,dropout,L4 slip,0.9287934486226318,0.3392263401298699,30
sensor_comm,1.0,dropout,intact,0.9041590728294413,0.43071499644812555,30
sensor_comm,1.0,intermittent,L4 failure,0.8504610701250512,0.24054565040705986,30
sensor_comm,1.0,intermittent,L4 slip,0.9904766463917404,0.231575064289643,30
sensor_comm,1.0,intermittent,intact,1.0843045141703347,0.4626923004397697,30
sensor_comm,1.0,noisy,L4 failure,0.9715239326349925,0.121644619220586,30
sensor_comm,1.0,noisy,L4 slip,0.9231485043947687,0.24830432620305726,30
sensor_comm,1.0,noisy,intact,0.8928870871960036,0.13399511965486388,30
sensor_comm,1.0,stuck,L4 failure,0.7900269334916793,0.25087157350832173,30
sensor_comm,1.0,stuck,L4 slip,0.7597226286173235,0.2423793890211173,30
sensor_comm,1.0,stuck,intact,0.6977341428873621,0.22893858489151023,30
